name
background
left root
    left Basic cell groups and regions
        left Cerebrum
            left Cerebral cortex
                left Cortical plate
                    left Isocortex
"                        left Frontal pole, cerebral cortex"
"                            left Frontal pole, layer 1"
"                            left Frontal pole, layer 2/3"
"                            left Frontal pole, layer 5"
"                            left Frontal pole, layer 6a"
"                            left Frontal pole, layer 6b"
                        left Somatomotor areas
                            left Primary motor area
"                                left Primary motor area, Layer 1"
"                                left Primary motor area, Layer 2/3"
"                                left Primary motor area, Layer 5"
"                                left Primary motor area, Layer 6a"
"                                left Primary motor area, Layer 6b"
                            left Secondary motor area
"                                left Secondary motor area, layer 1"
"                                left Secondary motor area, layer 2/3"
"                                left Secondary motor area, layer 5"
"                                left Secondary motor area, layer 6a"
"                                left Secondary motor area, layer 6b"
                        left Somatosensory areas
                            left Primary somatosensory area
"                                left Primary somatosensory area, nose"
"                                    left Primary somatosensory area, nose, layer 1"
"                                    left Primary somatosensory area, nose, layer 2/3"
"                                    left Primary somatosensory area, nose, layer 4"
"                                    left Primary somatosensory area, nose, layer 5"
"                                    left Primary somatosensory area, nose, layer 6a"
"                                    left Primary somatosensory area, nose, layer 6b"
"                                left Primary somatosensory area, barrel field"
"                                    left Primary somatosensory area, barrel field, layer 1"
"                                    left Primary somatosensory area, barrel field, layer 2/3"
"                                    left Primary somatosensory area, barrel field, layer 4"
"                                    left Primary somatosensory area, barrel field, layer 5"
"                                    left Primary somatosensory area, barrel field, layer 6a"
"                                    left Primary somatosensory area, barrel field, layer 6b"
"                                left Primary somatosensory area, lower limb"
"                                    left Primary somatosensory area, lower limb, layer 1"
"                                    left Primary somatosensory area, lower limb, layer 2/3"
"                                    left Primary somatosensory area, lower limb, layer 4"
"                                    left Primary somatosensory area, lower limb, layer 5"
"                                    left Primary somatosensory area, lower limb, layer 6a"
"                                    left Primary somatosensory area, lower limb, layer 6b"
"                                left Primary somatosensory area, mouth"
"                                    left Primary somatosensory area, mouth, layer 1"
"                                    left Primary somatosensory area, mouth, layer 2/3"
"                                    left Primary somatosensory area, mouth, layer 4"
"                                    left Primary somatosensory area, mouth, layer 5"
"                                    left Primary somatosensory area, mouth, layer 6a"
"                                    left Primary somatosensory area, mouth, layer 6b"
"                                left Primary somatosensory area, upper limb"
"                                    left Primary somatosensory area, upper limb, layer 1"
"                                    left Primary somatosensory area, upper limb, layer 2/3"
"                                    left Primary somatosensory area, upper limb, layer 4"
"                                    left Primary somatosensory area, upper limb, layer 5"
"                                    left Primary somatosensory area, upper limb, layer 6a"
"                                    left Primary somatosensory area, upper limb, layer 6b"
"                                left Primary somatosensory area, trunk"
"                                    left Primary somatosensory area, trunk, layer 1"
"                                    left Primary somatosensory area, trunk, layer 2/3"
"                                    left Primary somatosensory area, trunk, layer 4"
"                                    left Primary somatosensory area, trunk, layer 5"
"                                    left Primary somatosensory area, trunk, layer 6a"
"                                    left Primary somatosensory area, trunk, layer 6b"
"                                left Primary somatosensory area, unassigned"
"                                    left Primary somatosensory area, unassigned, layer 1"
